vittorio giardino
geof darrow
paul pope
jack kirby
francois schuiten
herge
john bauer
nihei tsutomu
moebius
jean giraud
guido crepax
frank miller
ralph bakshi
paul lehr
syd mead
kay rasmus nielsen
bill sienkiewicz
roger dean
adrian smith
wayne barlowe
ralph mcquarrie
paul komoda
james jean
katsuhiro otomo
ron cobb
richard corben
john harris
peter elson
philippe druillet
sergio toppi
yasushi nirasawa
dan mcpharlin
chris foss
enki bilal
